date,query,replies,message,views,favorites
2022-11-16,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,7,1
2022-11-18,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,8,1
2022-11-20,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,9,1
2022-11-22,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,11,1
2022-11-24,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,13,1
2022-11-26,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,13,1
2022-11-28,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,13,1
2022-11-30,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,14,1
2022-12-02,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,14,1
2022-12-04,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,15,1
2022-12-06,"""Drop your #NFT"" (#NFT OR #NFTDrop)",100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,16,1
2022-12-08,Drop your #NFT (#NFT OR #NFTDrop) min_faves:100,100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,16,1
2022-12-10,Drop your #NFT (#NFT OR #NFTDrop) min_faves:100,100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,16,1
2022-12-12,Drop your #NFT (#NFT OR #NFTDrop) min_faves:100,100,These NFTs are drawings from a traveler going to a strange land https://t.co/PNmnoWE5PU,16,1
